No.Kec,Ibu Kota Kabupaten,Kabupaten/Kota,Prov,Kec_Kab,Tujuan2,Tujuan1,Prov.1,Tujuan Pesawat,Uang Harian,Es. I,Es. II,Es. III/Gol/IV,Es.IV /Gol/III/II/I,FB,FD,P. Bisnis,P. Ekonomi,Airport Tax,Taxi Jakarta,Taxi Daerah,B,Dlm Kota,Diklat
280,Oksibil,Kab. Peg. Bintang,Papua Pegunungan,"Oksibil, Kab. Peg. Bintang","Kab. Peg. Bintang, Pagu","Oksibil, Kab. Peg. Bintang, Papua",Pagu,Wamena,580.000,5.711.000,4.911.000,3.731.000,1.536.000,130.000,95.000,14.568.000,8.193.000,70.000,0,0,0,230.000,170.000
281,Ondong Siau,Kab. Kep. Siau Tagulandang Biaro,Sulawesi Utara,"Ondong Siau, Kab. Kep. Siau Tagulandang Biaro","Kab. Kep. Siau Tagulandang Biaro, Sulut","Ondong Siau, Kab. Kep. Siau Tagulandang Biaro, Sulawesi Utara",Sulut,Manado,370.000,4.919.000,2.290.000,1.270.000,978.000,130.000,95.000,10.824.000,5.102.000,80.000,0,0,0,150.000,110.000
282,Pacitan,Kab. Pacitan,Jawa Timur,"Pacitan, Kab. Pacitan","Kab. Pacitan, Jatim","Pacitan, Kab. Pacitan, Jawa Timur",Jatim,Surabaya,410.000,4.449.000,2.007.000,1.153.000,814.000,130.000,95.000,5.466.000,2.674.000,115.000,0,0,500.000,160.000,120.000
283,Padang,Padang,Sumatera Barat,Padang,"Padang, Sumbar","Padang, Sumatera Barat",Sumbar,Padang,380.000,5.236.000,3.332.000,1.353.000,701.000,130.000,95.000,5.530.000,2.952.000,75.000,0,0,0,150.000,110.000
284,Padang Aro,Kab. Solok Selatan,Sumatera Barat,"Padang Aro, Kab. Solok Selatan","Kab. Solok Selatan, Sumbar","Padang Aro, Kab. Solok Selatan, Sumatera Barat",Sumbar,Padang,380.000,5.236.000,3.332.000,1.353.000,701.000,130.000,95.000,5.530.000,2.952.000,75.000,0,0,0,150.000,110.000
285,Padangpanjang,Padangpanjang,Sumatera Barat,Padangpanjang,"Padangpanjang, Sumbar","Padangpanjang, Sumatera Barat",Sumbar,Padang,380.000,5.236.000,3.332.000,1.353.000,701.000,130.000,95.000,5.530.000,2.952.000,75.000,0,0,0,150.000,110.000
286,Padangsidempuan,Padangsidempuan,Sumatera Utara,Padangsidempuan,"Padangsidempuan, Sumut","Padangsidempuan, Sumatera Utara",Sumut,Medan,370.000,4.960.000,2.195.000,1.188.000,699.000,130.000,95.000,7.252.000,3.808.000,115.000,0,0,0,150.000,110.000
287,Pagar Alam,Pagar Alam,Sumatera Selatan,Pagar Alam,"Pagar Alam, Sumsel","Pagar Alam, Sumatera Selatan",Sumsel,Palembang,380.000,6.298.000,3.083.000,1.966.000,861.000,130.000,95.000,3.861.000,2.268.000,75.000,0,0,0,150.000,110.000
288,Painan,Kab. Pesisir Selatan,Sumatera Barat,"Painan, Kab. Pesisir Selatan","Kab. Pesisir Selatan, Sumbar","Painan, Kab. Pesisir Selatan, Sumatera Barat",Sumbar,Padang,380.000,5.236.000,3.332.000,1.353.000,701.000,130.000,95.000,5.530.000,2.952.000,75.000,0,0,0,150.000,110.000
289,Palangka Raya,Palangka Raya,Kalimantan Tengah,Palangka Raya,"Palangka Raya, Kalteng","Palangka Raya, Kalimantan Tengah",Kalteng,Palangka raya,360.000,4.901.000,3.391.000,1.160.000,659.000,130.000,95.000,4.984.000,2.984.000,55.000,0,0,0,140.000,110.000
290,Palembang,Palembang,Sumatera Selatan,Palembang,"Palembang, Sumsel","Palembang, Sumatera Selatan",Sumsel,Palembang,380.000,6.298.000,3.083.000,1.966.000,861.000,130.000,95.000,3.861.000,2.268.000,75.000,0,0,0,150.000,110.000
291,Palopo.,Palopo.,Sulawesi Selatan,Palopo.,"Palopo., Sulsel","Palopo., Sulawesi Selatan",Sulsel,Makassar,430.000,4.820.000,1.938.000,1.423.000,745.000,130.000,95.000,7.444.000,3.829.000,90.000,0,0,0,170.000,130.000
292,Palu,Palu,Sulawesi Tengah,Palu,"Palu, Sulteng","Palu, Sulawesi Tengah",Sulteng,Palu,370.000,4.820.000,1.938.000,1.423.000,745.000,130.000,95.000,9.348.000,5.113.000,55.000,0,0,0,150.000,110.000
293,Pamekasan,Kab. Pamekasan,Jawa Timur,"Pamekasan, Kab. Pamekasan","Kab. Pamekasan, Jatim","Pamekasan, Kab. Pamekasan, Jawa Timur",Jatim,Surabaya,410.000,4.449.000,2.007.000,1.153.000,814.000,130.000,95.000,5.466.000,2.674.000,115.000,0,0,500.000,160.000,120.000
294,Pandan,Kab. Tapanuli Tengah,Sumatera Utara,"Pandan, Kab. Tapanuli Tengah","Kab. Tapanuli Tengah, Sumut","Pandan, Kab. Tapanuli Tengah, Sumatera Utara",Sumut,Medan,370.000,4.960.000,2.195.000,1.188.000,699.000,130.000,95.000,7.252.000,3.808.000,115.000,0,0,0,150.000,110.000
295,Pandeglang,Kab. Pandeglang,Banten,"Pandeglang, Kab. Pandeglang","Kab. Pandeglang, Banten","Pandeglang, Kab. Pandeglang, Banten",Banten,Serang,370.000,5.725.000,2.373.000,1.301.000,724.000,130.000,95.000,100.000,100.000,0,0,0,100.000,150.000,110.000
296,Pangkajene,Kab. Pangkajene dan Kepulauan,Sulawesi Selatan,"Pangkajene, Kab. Pangkajene dan Kepulauan","Kab. Pangkajene dan Kepulauan, Sulsel","Pangkajene, Kab. Pangkajene dan Kepulauan, Sulawesi Selatan",Sulsel,Makassar,430.000,4.820.000,1.938.000,1.423.000,745.000,130.000,95.000,7.444.000,3.829.000,90.000,0,0,0,170.000,130.000
297,Pangkajene Sidenreng,Kab. Sidenreng Rappang,Sulawesi Selatan,"Pangkajene Sidenreng, Kab. Sidenreng Rappang","Kab. Sidenreng Rappang, Sulsel","Pangkajene Sidenreng, Kab. Sidenreng Rappang, Sulawesi Selatan",Sulsel,Makassar,430.000,4.820.000,1.938.000,1.423.000,745.000,130.000,95.000,7.444.000,3.829.000,90.000,0,0,0,170.000,130.000
298,Pangkal Pinang,Pangkal Pinang,Bangka Belitung,Pangkal Pinang,"Pangkal Pinang, Bangka Belitung","Pangkal Pinang, Bangka Belitung",Bangka Belitung,Pangkal Pinang,410.000,4.134.000,2.838.000,1.957.000,676.000,130.000,95.000,3.412.000,2.139.000,60.000,0,0,0,160.000,120.000
299,Pangkalan Balai,Kab. Banyuasin,Sumatera Selatan,"Pangkalan Balai, Kab. Banyuasin","Kab. Banyuasin, Sumsel","Pangkalan Balai, Kab. Banyuasin, Sumatera Selatan",Sumsel,Palembang,380.000,6.298.000,3.083.000,1.966.000,861.000,130.000,95.000,3.861.000,2.268.000,75.000,0,0,0,150.000,110.000
300,Pangkalan Bun,Kab. Kotawaringin Barat,Kalimantan Tengah,"Pangkalan Bun, Kab. Kotawaringin Barat","Kab. Kotawaringin Barat, Kalteng","Pangkalan Bun, Kab. Kotawaringin Barat, Kalimantan Tengah",Kalteng,Palangka raya,360.000,4.901.000,3.391.000,1.160.000,659.000,130.000,95.000,4.984.000,2.984.000,55.000,0,0,0,140.000,110.000
301,Pangkalan Kerinci,Kab. Pelalawan,Riau,"Pangkalan Kerinci, Kab. Pelalawan","Kab. Pelalawan, Riau","Pangkalan Kerinci, Kab. Pelalawan, Riau",Riau,Pekanbaru,370.000,3.820.000,3.119.000,1.650.000,852.000,130.000,95.000,5.583.000,3.016.000,70.000,0,0,0,150.000,110.000
302,Pangururan,Kab. Samosir,Sumatera Utara,"Pangururan, Kab. Samosir","Kab. Samosir, Sumut","Pangururan, Kab. Samosir, Sumatera Utara",Sumut,Medan,370.000,4.960.000,2.195.000,1.188.000,699.000,130.000,95.000,7.252.000,3.808.000,115.000,0,0,0,150.000,110.000
303,Panyabungan,Kab. Mandailing Natal,Sumatera Utara,"Panyabungan, Kab. Mandailing Natal","Kab. Mandailing Natal, Sumut","Panyabungan, Kab. Mandailing Natal, Sumatera Utara",Sumut,Medan,370.000,4.960.000,2.195.000,1.188.000,699.000,130.000,95.000,7.252.000,3.808.000,115.000,0,0,0,150.000,110.000
304,Parepare,Parepare,Sulawesi Selatan,Parepare,"Parepare, Sulsel","Parepare, Sulawesi Selatan",Sulsel,Makassar,430.000,4.820.000,1.938.000,1.423.000,745.000,130.000,95.000,7.444.000,3.829.000,90.000,0,0,0,170.000,130.000
305,Pariaman,Pariaman,Sumatera Barat,Pariaman,"Pariaman, Sumbar","Pariaman, Sumatera Barat",Sumbar,Padang,380.000,5.236.000,3.332.000,1.353.000,701.000,130.000,95.000,5.530.000,2.952.000,75.000,0,0,0,150.000,110.000
306,Parigi,Kab. Pangandaran,Jawa Barat,"Parigi, Kab. Pangandaran","Kab. Pangandaran, Jabar","Parigi, Kab. Pangandaran, Jawa Barat",Jabar,Bandung,430.000,5.812.000,2.755.000,1.298.000,686.000,130.000,95.000,250.000,250.000,0,0,0,250.000,170.000,130.000
307,Parigi.,Kab. Parigi Moutong,Sulawesi Tengah,"Parigi., Kab. Parigi Moutong","Kab. Parigi Moutong, Sulteng","Parigi., Kab. Parigi Moutong, Sulawesi Tengah",Sulteng,Palu,370.000,4.820.000,1.938.000,1.423.000,745.000,130.000,95.000,9.348.000,5.113.000,55.000,0,0,0,150.000,110.000
308,Paringin,Kab. Balangan,Kalimantan Selatan,"Paringin, Kab. Balangan","Kab. Balangan, Kalsel","Paringin, Kab. Balangan, Kalimantan Selatan",Kalsel,Banjarmasin,380.000,4.797.000,3.316.000,1.500.000,697.000,130.000,95.000,5.252.000,2.995.000,65.000,0,0,0,150.000,110.000
309,Parit Malintang,Kab. Padang Pariaman,Sumatera Barat,"Parit Malintang, Kab. Padang Pariaman","Kab. Padang Pariaman, Sumbar","Parit Malintang, Kab. Padang Pariaman, Sumatera Barat",Sumbar,Padang,380.000,5.236.000,3.332.000,1.353.000,701.000,130.000,95.000,5.530.000,2.952.000,75.000,0,0,0,150.000,110.000
310,Pasangkayu,Kab. Mamuju Utara,Sulawesi Barat,"Pasangkayu, Kab. Mamuju Utara","Kab. Mamuju Utara, Sulbar","Pasangkayu, Kab. Mamuju Utara, Sulawesi Barat",Sulbar,Mamuju,410.000,4.076.000,3.098.000,1.344.000,704.000,130.000,95.000,7.295.000,4.867.000,52.000,0,0,0,160.000,120.000
311,Pasar Krui,Kab. Pesisir Barat,Lampung,"Pasar Krui, Kab. Pesisir Barat","Kab. Pesisir Barat, Lampung","Pasar Krui, Kab. Pesisir Barat, Lampung",Lampung,Bandar Lampung,380.000,4.491.000,2.488.000,1.539.000,580.000,130.000,95.000,2.407.000,1.583.000,51.000,0,0,530.000,150.000,110.000
312,Pasarwajo,Kab. Buton,Sulawesi Tenggara,"Pasarwajo, Kab. Buton","Kab. Buton, Sultra","Pasarwajo, Kab. Buton, Sulawesi Tenggara",Sultra,Kendari,380.000,3.089.000,2.574.000,1.297.000,786.000,130.000,95.000,7.658.000,4.182.000,51.000,0,0,0,150.000,110.000
313,Pasir Pengaraian,Kab. Rokan Hulu,Riau,"Pasir Pengaraian, Kab. Rokan Hulu","Kab. Rokan Hulu, Riau","Pasir Pengaraian, Kab. Rokan Hulu, Riau",Riau,Pekanbaru,370.000,3.820.000,3.119.000,1.650.000,852.000,130.000,95.000,5.583.000,3.016.000,70.000,0,0,0,150.000,110.000
314,Pasuruan,Pasuruan,Jawa Timur,Pasuruan,"Pasuruan, Jatim","Pasuruan, Jawa Timur",Jatim,Surabaya,410.000,4.449.000,2.007.000,1.153.000,814.000,130.000,95.000,5.466.000,2.674.000,115.000,0,0,500.000,160.000,120.000
315,Pasuruan.,Kab. Pasuruan,Jawa Timur,"Pasuruan., Kab. Pasuruan","Kab. Pasuruan, Jatim","Pasuruan., Kab. Pasuruan, Jawa Timur",Jatim,Surabaya,410.000,4.449.000,2.007.000,1.153.000,814.000,130.000,95.000,5.466.000,2.674.000,115.000,0,0,500.000,160.000,120.000
316,Pati,Kab. Pati,Jawa Tengah,"Pati, Kab. Pati","Kab. Pati, Jateng","Pati, Kab. Pati, Jawa Tengah",Jateng,Semarang,370.000,5.728.000,1.998.000,1.201.000,810.000,130.000,95.000,3.861.000,2.182.000,70.000,0,0,400.000,150.000,110.000
317,Pattalassang,Kab. Takalar,Sulawesi Selatan,"Pattalassang, Kab. Takalar","Kab. Takalar, Sulsel","Pattalassang, Kab. Takalar, Sulawesi Selatan",Sulsel,Makassar,430.000,4.820.000,1.938.000,1.423.000,745.000,130.000,95.000,7.444.000,3.829.000,90.000,0,0,0,170.000,130.000
318,Payakumbuh,Payakumbuh,Sumatera Barat,Payakumbuh,"Payakumbuh, Sumbar","Payakumbuh, Sumatera Barat",Sumbar,Padang,380.000,5.236.000,3.332.000,1.353.000,701.000,130.000,95.000,5.530.000,2.952.000,75.000,0,0,0,150.000,110.000
319,Pekalongan,Pekalongan,Jawa Tengah,Pekalongan,"Pekalongan, Jateng","Pekalongan, Jawa Tengah",Jateng,Semarang,370.000,5.728.000,1.998.000,1.201.000,810.000,130.000,95.000,3.861.000,2.182.000,70.000,0,0,400.000,150.000,110.000
320,Pekanbaru,Pekanbaru,Riau,Pekanbaru,"Pekanbaru, Riau","Pekanbaru, Riau",Riau,Pekanbaru,370.000,3.820.000,3.119.000,1.650.000,852.000,130.000,95.000,5.583.000,3.016.000,70.000,0,0,0,150.000,110.000
321,Pelabuanratu,Kab. Sukabumi,Jawa Barat,"Pelabuanratu, Kab. Sukabumi","Kab. Sukabumi, Jabar","Pelabuanratu, Kab. Sukabumi, Jawa Barat",Jabar,Bandung,430.000,5.812.000,2.755.000,1.298.000,686.000,130.000,95.000,230.000,230.000,0,0,0,230.000,170.000,130.000
322,Pelaihari,Kab. Tanah Laut,Kalimantan Selatan,"Pelaihari, Kab. Tanah Laut","Kab. Tanah Laut, Kalsel","Pelaihari, Kab. Tanah Laut, Kalimantan Selatan",Kalsel,Banjarmasin,380.000,4.797.000,3.316.000,1.500.000,697.000,130.000,95.000,5.252.000,2.995.000,65.000,0,0,0,150.000,110.000
323,Pemalang,Kab. Pemalang,Jawa Tengah,"Pemalang, Kab. Pemalang","Kab. Pemalang, Jateng","Pemalang, Kab. Pemalang, Jawa Tengah",Jateng,Semarang,370.000,5.728.000,1.998.000,1.201.000,810.000,130.000,95.000,3.861.000,2.182.000,70.000,0,0,400.000,150.000,110.000
324,Pematangsiantar,Pematangsiantar,Sumatera Utara,Pematangsiantar,"Pematangsiantar, Sumut","Pematangsiantar, Sumatera Utara",Sumut,Medan,370.000,4.960.000,2.195.000,1.188.000,699.000,130.000,95.000,7.252.000,3.808.000,115.000,0,0,0,150.000,110.000
325,Penajam,Kab. Penajam Paser Utara,Kalimantan Timur,"Penajam, Kab. Penajam Paser Utara","Kab. Penajam Paser Utara, Kaltim","Penajam, Kab. Penajam Paser Utara, Kalimantan Timur",Kaltim,Samarinda,430.000,4.000.000,2.188.000,1.507.000,804.000,130.000,95.000,7.412.000,3.797.000,115.000,0,0,0,170.000,130.000
326,Pinrang,Kab. Pinrang,Sulawesi Selatan,"Pinrang, Kab. Pinrang","Kab. Pinrang, Sulsel","Pinrang, Kab. Pinrang, Sulawesi Selatan",Sulsel,Makassar,430.000,4.820.000,1.938.000,1.423.000,745.000,130.000,95.000,7.444.000,3.829.000,90.000,0,0,0,170.000,130.000
327,Piru,Kab. Seram Bag. Barat,Maluku,"Piru, Kab. Seram Bag. Barat","Kab. Seram Bag. Barat, Maluku","Piru, Kab. Seram Bag. Barat, Maluku",Maluku,Ambon,380.000,3.467.000,3.240.000,1.059.000,667.000,130.000,95.000,13.285.000,7.081.000,70.000,0,0,0,150.000,110.000
328,Polewali,Kab. Polewali Mandar,Sulawesi Barat,"Polewali, Kab. Polewali Mandar","Kab. Polewali Mandar, Sulbar","Polewali, Kab. Polewali Mandar, Sulawesi Barat",Sulbar,Mamuju,410.000,4.076.000,3.098.000,1.344.000,704.000,130.000,95.000,7.295.000,4.867.000,52.000,0,0,0,160.000,120.000
329,Ponorogo,Kab. Ponorogo,Jawa Timur,"Ponorogo, Kab. Ponorogo","Kab. Ponorogo, Jatim","Ponorogo, Kab. Ponorogo, Jawa Timur",Jatim,Surabaya,410.000,4.449.000,2.007.000,1.153.000,814.000,130.000,95.000,5.466.000,2.674.000,115.000,0,0,500.000,160.000,120.000
330,Pontianak,Pontianak,Kalimantan Barat,Pontianak,"Pontianak, Kalbar","Pontianak, Kalimantan Barat",Kalbar,Pontianak,380.000,2.654.000,1.923.000,1.125.000,538.000,130.000,95.000,4.353.000,2.781.000,70.000,0,0,0,150.000,110.000
331,Poso,Kab. Poso,Sulawesi Tengah,"Poso, Kab. Poso","Kab. Poso, Sulteng","Poso, Kab. Poso, Sulawesi Tengah",Sulteng,Palu,370.000,4.820.000,1.938.000,1.423.000,745.000,130.000,95.000,9.348.000,5.113.000,55.000,0,0,0,150.000,110.000
332,Prabumulih,Prabumulih,Sumatera Selatan,Prabumulih,"Prabumulih, Sumsel","Prabumulih, Sumatera Selatan",Sumsel,Palembang,380.000,6.298.000,3.083.000,1.966.000,861.000,130.000,95.000,3.861.000,2.268.000,75.000,0,0,0,150.000,110.000
333,Praya,Kab. Lombok Tengah,Nusa Tenggara Barat,"Praya, Kab. Lombok Tengah","Kab. Lombok Tengah, NTB","Praya, Kab. Lombok Tengah, Nusa Tenggara Barat",NTB,Mataram,440.000,4.375.000,2.648.000,1.418.000,907.000,130.000,95.000,5.316.000,3.230.000,85.000,0,0,0,180.000,130.000
334,Pringsewu,Pringsewu,Lampung,Pringsewu,"Pringsewu, Lampung","Pringsewu, Lampung",Lampung,Bandar Lampung,380.000,4.491.000,2.488.000,1.539.000,580.000,130.000,95.000,2.407.000,1.583.000,51.000,0,0,530.000,150.000,110.000
335,Probolinggo,Probolinggo,Jawa Timur,Probolinggo,"Probolinggo, Jatim","Probolinggo, Jawa Timur",Jatim,Surabaya,410.000,4.449.000,2.007.000,1.153.000,814.000,130.000,95.000,5.466.000,2.674.000,115.000,0,0,500.000,160.000,120.000
336,Pulang Pisau,Kab. Pulang Pisau,Kalimantan Tengah,"Pulang Pisau, Kab. Pulang Pisau","Kab. Pulang Pisau, Kalteng","Pulang Pisau, Kab. Pulang Pisau, Kalimantan Tengah",Kalteng,Palangka raya,360.000,4.901.000,3.391.000,1.160.000,659.000,130.000,95.000,4.984.000,2.984.000,55.000,0,0,0,140.000,110.000
337,Pulau Pramuka,Kab. Adm. Kep. Seribu,Jakarta,"Pulau Pramuka, Kab. Adm. Kep. Seribu","Kab. Adm. Kep. Seribu, D.K.I Jakarta","Pulau Pramuka, Kab. Adm. Kep. Seribu, DKI Jakarta",D.K.I Jakarta,Jakarta,530.000,8.720.000,2.063.000,992,730.000,130.000,95.000,856.000,856.000,0,0,0,0,210.000,160.000
338,Pulau Punjung,Kab. Dharmasraya,Sumatera Barat,"Pulau Punjung, Kab. Dharmasraya","Kab. Dharmasraya, Sumbar","Pulau Punjung, Kab. Dharmasraya, Sumatera Barat",Sumbar,Padang,380.000,5.236.000,3.332.000,1.353.000,701.000,130.000,95.000,5.530.000,2.952.000,75.000,0,0,0,150.000,110.000
339,Purbalingga,Kab. Purbalingga,Jawa Tengah,"Purbalingga, Kab. Purbalingga","Kab. Purbalingga, Jateng","Purbalingga, Kab. Purbalingga, Jawa Tengah",Jateng,Semarang,370.000,5.728.000,1.998.000,1.201.000,810.000,130.000,95.000,3.861.000,2.182.000,70.000,0,0,400.000,150.000,110.000
340,Purukcahu,Kab. Murung Raya,Kalimantan Tengah,"Purukcahu, Kab. Murung Raya","Kab. Murung Raya, Kalteng","Purukcahu, Kab. Murung Raya, Kalimantan Tengah",Kalteng,Palangka raya,360.000,4.901.000,3.391.000,1.160.000,659.000,130.000,95.000,4.984.000,2.984.000,55.000,0,0,0,140.000,110.000
341,Purwakarta,Kab. Purwakarta,Jawa Barat,"Purwakarta, Kab. Purwakarta","Kab. Purwakarta, Jabar","Purwakarta, Kab. Purwakarta, Jawa Barat",Jabar,Bandung,430.000,5.812.000,2.755.000,1.298.000,686.000,130.000,95.000,150.000,150.000,0,0,0,150.000,170.000,130.000
342,Purwodadi,Kab. Grobogan,Jawa Tengah,"Purwodadi, Kab. Grobogan","Kab. Grobogan, Jateng","Purwodadi, Kab. Grobogan, Jawa Tengah",Jateng,Semarang,370.000,5.728.000,1.998.000,1.201.000,810.000,130.000,95.000,3.861.000,2.342.000,70.000,0,0,400.000,150.000,110.000
343,Purwokerto,Kab. Banyumas,Jawa Tengah,"Purwokerto, Kab. Banyumas","Kab. Banyumas, Jateng","Purwokerto, Kab. Banyumas, Jawa Tengah",Jateng,Semarang,370.000,5.728.000,1.998.000,1.201.000,810.000,130.000,95.000,3.861.000,2.182.000,70.000,0,0,400.000,150.000,110.000
344,Purworejo,Kab. Purworejo,Jawa Tengah,"Purworejo, Kab. Purworejo","Kab. Purworejo, Jateng","Purworejo, Kab. Purworejo, Jawa Tengah",Jateng,Semarang,370.000,5.728.000,1.998.000,1.201.000,810.000,130.000,95.000,3.861.000,2.342.000,70.000,0,0,400.000,150.000,110.000
345,Putussibau,Kab. Kapuas Hulu,Kalimantan Barat,"Putussibau, Kab. Kapuas Hulu","Kab. Kapuas Hulu, Kalbar","Putussibau, Kab. Kapuas Hulu, Kalimantan Barat",Kalbar,Pontianak,380.000,2.654.000,1.923.000,1.125.000,538.000,130.000,95.000,4.353.000,2.781.000,70.000,0,0,0,150.000,110.000
346,Raba,Kab. Bima,Nusa Tenggara Barat,"Raba, Kab. Bima","Kab. Bima, NTB","Raba, Kab. Bima, Nusa Tenggara Barat",NTB,Mataram,440.000,4.375.000,2.648.000,1.418.000,907.000,130.000,95.000,5.316.000,3.230.000,85.000,0,0,0,180.000,130.000
347,Raha,Kab. Muna,Sulawesi Tenggara,"Raha, Kab. Muna","Kab. Muna, Sultra","Raha, Kab. Muna, Sulawesi Tenggara",Sultra,Kendari,380.000,3.089.000,2.574.000,1.297.000,786.000,130.000,95.000,7.658.000,4.182.000,51.000,0,0,0,150.000,110.000
348,Ranai,Kab. Natuna,Kep. Riau,"Ranai, Kab. Natuna","Kab. Natuna, Kepulauan Riau","Ranai, Kab. Natuna, Kep. Riau",Kepulauan Riau,Tanjung Pinang,370.000,5.772.000,2.318.000,1.297.000,792.000,130.000,95.000,4.867.000,2.888.000,70.000,0,0,0,150.000,110.000
349,Rangkasbitung,Kab. Lebak,Banten,"Rangkasbitung, Kab. Lebak","Kab. Lebak, Banten","Rangkasbitung, Kab. Lebak, Banten",Banten,Serang,370.000,5.725.000,2.373.000,1.301.000,724.000,130.000,95.000,100.000,100.000,0,0,0,100.000,150.000,110.000
350,Ransiki,Kab. Manokwari Selatan,Papua Barat,"Ransiki, Kab. Manokwari Selatan","Kab. Manokwari Selatan, Pabar","Ransiki, Kab. Manokwari Selatan, Papua Barat",Pabar,Manokwari,480.000,3.872.000,3.341.000,2.056.000,967.000,130.000,95.000,16.226.000,10.824.000,50.000,0,0,0,190.000,140.000
351,Rantau,Kab. Tapin,Kalimantan Selatan,"Rantau, Kab. Tapin","Kab. Tapin, Kalsel","Rantau, Kab. Tapin, Kalimantan Selatan",Kalsel,Banjarmasin,380.000,4.797.000,3.316.000,1.500.000,697.000,130.000,95.000,5.252.000,2.995.000,65.000,0,0,0,150.000,110.000
352,Rantau Prapat,Kab. Labuhanbatu,Sumatera Utara,"Rantau Prapat, Kab. Labuhanbatu","Kab. Labuhanbatu, Sumut","Rantau Prapat, Kab. Labuhanbatu, Sumatera Utara",Sumut,Medan,370.000,4.960.000,2.195.000,1.188.000,699.000,130.000,95.000,7.252.000,3.808.000,115.000,0,0,0,150.000,110.000
353,Rantepao,Kab. Toraja Utara,Sulawesi Selatan,"Rantepao, Kab. Toraja Utara","Kab. Toraja Utara, Sulsel","Rantepao, Kab. Toraja Utara, Sulawesi Selatan",Sulsel,Makassar,430.000,4.820.000,1.938.000,1.423.000,745.000,130.000,95.000,7.444.000,3.829.000,90.000,0,0,0,170.000,130.000
354,Rasiei,Kab. Teluk Wondama,Papua Barat,"Rasiei, Kab. Teluk Wondama","Kab. Teluk Wondama, Pabar","Rasiei, Kab. Teluk Wondama, Papua Barat",Pabar,Manokwari,480.000,3.872.000,3.341.000,2.056.000,967.000,130.000,95.000,16.226.000,10.824.000,50.000,0,0,0,190.000,140.000
355,Ratahan,Kab. Minahasa Tenggara,Sulawesi Utara,"Ratahan, Kab. Minahasa Tenggara","Kab. Minahasa Tenggara, Sulut","Ratahan, Kab. Minahasa Tenggara, Sulawesi Utara",Sulut,Manado,370.000,4.919.000,2.290.000,1.270.000,978.000,130.000,95.000,10.824.000,5.102.000,80.000,0,0,0,150.000,110.000
356,Raya,Kab. Simalungun,Sumatera Utara,"Raya, Kab. Simalungun","Kab. Simalungun, Sumut","Raya, Kab. Simalungun, Sumatera Utara",Sumut,Medan,370.000,4.960.000,2.195.000,1.188.000,699.000,130.000,95.000,7.252.000,3.808.000,115.000,0,0,0,150.000,110.000
357,Rembang,Kab. Rembang,Jawa Tengah,"Rembang, Kab. Rembang","Kab. Rembang, Jateng","Rembang, Kab. Rembang, Jawa Tengah",Jateng,Semarang,370.000,5.728.000,1.998.000,1.201.000,810.000,130.000,95.000,3.861.000,2.182.000,70.000,0,0,400.000,150.000,110.000
358,Rengat,Kab. Indragiri Hulu,Riau,"Rengat, Kab. Indragiri Hulu","Kab. Indragiri Hulu, Riau","Rengat, Kab. Indragiri Hulu, Riau",Riau,Pekanbaru,370.000,3.820.000,3.119.000,1.650.000,852.000,130.000,95.000,5.583.000,3.016.000,70.000,0,0,0,150.000,110.000
359,Rumbia,Kab. Bombana,Sulawesi Tenggara,"Rumbia, Kab. Bombana","Kab. Bombana, Sultra","Rumbia, Kab. Bombana, Sulawesi Tenggara",Sultra,Kendari,380.000,3.089.000,2.574.000,1.297.000,786.000,130.000,95.000,7.658.000,4.182.000,51.000,0,0,0,150.000,110.000
360,Rupit,Kab. Musi Rawas Utara,Sumatera Selatan,"Rupit, Kab. Musi Rawas Utara","Kab. Musi Rawas Utara, Sumsel","Rupit, Kab. Musi Rawas Utara, Sumatera Selatan",Sumsel,Palembang,380.000,6.298.000,3.083.000,1.966.000,861.000,130.000,95.000,3.861.000,2.268.000,75.000,0,0,0,150.000,110.000
361,Ruteng,Kab. Manggarai,Nusa Tenggara Timur,"Ruteng, Kab. Manggarai","Kab. Manggarai, NTT","Ruteng, Kab. Manggarai, Nusa Tenggara Timur",NTT,Kupang,430.000,3.750.000,2.133.000,1.355.000,688.000,130.000,95.000,9.413.000,5.081.000,60.000,0,0,0,170.000,130.000
362,Sabang,Sabang,Aceh,Sabang,"Sabang, Aceh","Sabang, Aceh",Aceh,"Banda Aceh, Aceh",360.000,4.774.000,3.526.000,1.578.000,770.000,130.000,95.000,7.519.000,4.492.000,65.000,0,0,0,140.000,110.000
363,Salak,Kab. Pakpak Barat,Sumatera Utara,"Salak, Kab. Pakpak Barat","Kab. Pakpak Barat, Sumut","Salak, Kab. Pakpak Barat, Sumatera Utara",Sumut,Medan,370.000,4.960.000,2.195.000,1.188.000,699.000,130.000,95.000,7.252.000,3.808.000,115.000,0,0,0,150.000,110.000
364,Salatiga,Salatiga,Jawa Tengah,Salatiga,"Salatiga, Jateng","Salatiga, Jawa Tengah",Jateng,Semarang,370.000,5.728.000,1.998.000,1.201.000,810.000,130.000,95.000,3.861.000,2.342.000,70.000,0,0,400.000,150.000,110.000
365,Samarinda,Samarinda,Kalimantan Timur,Samarinda,"Samarinda, Kaltim","Samarinda, Kalimantan Timur",Kaltim,Samarinda,430.000,4.000.000,2.188.000,1.507.000,804.000,130.000,95.000,7.412.000,3.797.000,115.000,0,0,0,170.000,130.000
