No.Kec,Ibu Kota Kabupaten,Kabupaten/Kota,Prov,Kec_Kab,Tujuan2,Tujuan1,Prov.1,Tujuan Pesawat,Uang Harian,Es. I,Es. II,Es. III/Gol/IV,Es.IV /Gol/III/II/I,FB,FD,P. Bisnis,P. Ekonomi,Airport Tax,Taxi Jakarta,Taxi Daerah,B,Dlm Kota,Diklat
173,Kota Manna,Kab. Bengkulu Selatan,Bengkulu,"Kota Manna, Kab. Bengkulu Selatan","Kab. Bengkulu Selatan, Bengkulu","Kota Manna, Kab. Bengkulu Selatan, Bengkulu",Bengkulu,Bengkulu,380.000,2.140.000,1.628.000,1.546.000,692.000,130.000,95.000,4.364.000,2.621.000,55.000,0,0,0,150.000,110.000
174,Kota Pinang,Kab. Labuhanbatu Selatan,Sumatera Utara,"Kota Pinang, Kab. Labuhanbatu Selatan","Kab. Labuhanbatu Selatan, Sumut","Kota Pinang, Kab. Labuhanbatu Selatan, Sumatera Utara",Sumut,Medan,370.000,4.960.000,2.195.000,1.188.000,699.000,130.000,95.000,7.252.000,3.808.000,115.000,0,0,0,150.000,110.000
175,Kotabaru,Kab. Kotabaru,Kalimantan Selatan,"Kotabaru, Kab. Kotabaru","Kab. Kotabaru, Kalsel","Kotabaru, Kab. Kotabaru, Kalimantan Selatan",Kalsel,Banjarmasin,380.000,4.797.000,3.316.000,1.500.000,697.000,130.000,95.000,5.252.000,2.995.000,65.000,0,0,0,150.000,110.000
176,Kotabumi,Kab. Lampung Utara,Lampung,"Kotabumi, Kab. Lampung Utara","Kab. Lampung Utara, Lampung","Kotabumi, Kab. Lampung Utara, Lampung",Lampung,Bandar Lampung,380.000,4.491.000,2.488.000,1.539.000,580.000,130.000,95.000,2.407.000,1.583.000,51.000,0,0,530.000,150.000,110.000
177,Kotamobagu,Kab. Bolaang Mongondow,Sulawesi Utara,"Kotamobagu, Kab. Bolaang Mongondow","Kab. Bolaang Mongondow, Sulut","Kotamobagu, Kab. Bolaang Mongondow, Sulawesi Utara",Sulut,Manado,370.000,4.919.000,2.290.000,1.270.000,978.000,130.000,95.000,10.824.000,5.102.000,80.000,0,0,0,150.000,110.000
178,Kotamobagu.,Kotamobagu.,Sulawesi Utara,Kotamobagu.,"Kotamobagu., Sulut","Kotamobagu., Sulawesi Utara",Sulut,Manado,370.000,4.919.000,2.290.000,1.270.000,978.000,130.000,95.000,10.824.000,5.102.000,80.000,0,0,0,150.000,110.000
179,Kotamulia,Kab. Puncak Jaya,Papua Tengah,"Kotamulia, Kab. Puncak Jaya","Kab. Puncak Jaya, Pate","Kotamulia, Kab. Puncak Jaya, Papua",Pate,Nabire,580.000,3.859.000,3.318.000,2.521.000,1.038.000,130.000,95.000,14.568.000,8.193.000,70.000,0,0,0,230.000,170.000
180,Kraksaan,Kab. Probolinggo,Jawa Timur,"Kraksaan, Kab. Probolinggo","Kab. Probolinggo, Jatim","Kraksaan, Kab. Probolinggo, Jawa Timur",Jatim,Surabaya,410.000,4.449.000,2.007.000,1.153.000,814.000,130.000,95.000,5.466.000,2.674.000,115.000,0,0,700.000,160.000,120.000
181,Kuala Kapuas,Kab. Kapuas,Kalimantan Tengah,"Kuala Kapuas, Kab. Kapuas","Kab. Kapuas, Kalteng","Kuala Kapuas, Kab. Kapuas, Kalimantan Tengah",Kalteng,Palangka raya,360.000,4.901.000,3.391.000,1.160.000,659.000,130.000,95.000,4.984.000,2.984.000,55.000,0,0,0,140.000,110.000
182,Kuala Kurun,Kab. Gunung Mas,Kalimantan Tengah,"Kuala Kurun, Kab. Gunung Mas","Kab. Gunung Mas, Kalteng","Kuala Kurun, Kab. Gunung Mas, Kalimantan Tengah",Kalteng,Palangka raya,360.000,4.901.000,3.391.000,1.160.000,659.000,130.000,95.000,4.984.000,2.984.000,55.000,0,0,0,140.000,110.000
